estacao=CEPAGRI (9001125)
municipio=Campinas (3509502)
latitude=-22,8156
longitude=-47,0578
altitude=660,0m 

* variaveis calculadas pelo sistema 

data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
14/02/2022;19,52;não;25,38;não;31,23;não;0,0;não;6;7;50,48;não;87,9;não;4,61;;;;;;;;;3,59;76,04
13/02/2022;18,75;não;25,32;não;31,89;não;0,0;não;5;6;44,21;não;86,0;não;4,91;;;;;;;;;4,01;79,63
12/02/2022;18,68;não;24,63;não;30,58;não;0,51;não;4;5;53,22;não;85,9;não;4,5;;;;;;;;;3,91;83,64
11/02/2022;18,41;não;24,3;não;30,19;não;0,0;não;3;4;49,04;não;83,8;não;4,37;;;;;;;;;3,89;87,04
10/02/2022;17,21;não;23,52;não;29,83;não;0,0;não;2;3;46,78;não;85,7;não;4,4;;;;;;;;;4,09;90,93
09/02/2022;16,32;não;23,31;não;30,3;não;0,0;não;1;2;48,64;não;86,2;não;4,66;;;;;;;;;4,53;95,02
08/02/2022;18,85;não;23,25;não;27,65;não;2,79;não;0;1;67,42;não;90,3;não;3,24;;;;;;;;;3,24;99,55
07/02/2022;20,36;não;24,69;não;29,01;não;27,94;não;0;0;59,37;não;90,8;não;3,59;;;;;;;;;3,59;100,0
06/02/2022;20,0;não;24,67;não;29,34;não;28,45;não;0;0;68,88;não;90,2;não;3,79;;;;;;;;;3,79;100,0
05/02/2022;20,27;não;24,94;não;29,61;não;29,46;não;0;0;61,59;não;89,5;não;3,87;;;;;;;;;3,87;100,0
04/02/2022;20,16;não;24,21;não;28,25;não;1,02;não;0;2;66,03;não;90,2;não;3,33;;;;;;;;;3,3;97,72
03/02/2022;19,94;não;22,14;não;24,33;não;7,87;não;0;1;81,3;não;90,1;não;2,02;;;;;;;;;2,02;100,0
02/02/2022;19,58;não;22,61;não;25,63;não;51,82;não;0;0;72,79;não;90,7;não;2,46;;;;;;;;;2,46;100,0
01/02/2022;19,66;não;22,55;não;25,44;não;18,8;não;0;0;75,65;não;90,6;não;2,39;;;;;;;;;2,39;100,0
31/01/2022;19,05;não;20,22;não;21,39;não;21,84;não;0;0;84,9;não;91,2;não;1,34;;;;;;;;;1,34;100,0
30/01/2022;19,74;não;21,97;não;24,19;não;33,78;não;0;0;83,4;não;90,3;não;2,01;;;;;;;;;2,01;100,0
29/01/2022;19,54;não;24,78;não;30,02;não;13,97;não;0;0;57,42;não;90,4;não;4,2;;;;;;;;;4,2;100,0
28/01/2022;20,99;não;26,18;não;31,36;não;0,51;não;1;1;52,04;não;88,8;não;4,61;;;;;;;;;4,53;95,98
27/01/2022;18,83;não;25,19;não;31,55;não;37,59;não;0;0;51,88;não;89,8;não;4,79;;;;;;;;;4,79;100,0
26/01/2022;20,15;não;26,94;não;33,72;não;2,29;não;0;7;43,23;não;89,4;não;5,29;;;;;;;;;4,45;70,94
25/01/2022;20,34;não;26,96;não;33,58;não;0,0;não;6;6;35,21;não;88,0;não;5,24;;;;;;;;;3,93;73,1
24/01/2022;20,46;não;27,25;não;34,04;não;0,0;não;5;5;28,01;não;89,1;não;5,34;;;;;;;;;4,22;77,03
23/01/2022;20,32;não;26,95;não;33,58;não;0,0;não;4;4;37,38;não;88,5;não;5,24;;;;;;;;;4,37;81,25
22/01/2022;19,03;não;26,35;não;33,66;não;0,0;não;3;3;31,8;não;87,3;não;5,37;;;;;;;;;4,73;85,62
21/01/2022;19,38;não;26,02;não;32,65;não;0,0;não;2;2;42,33;não;87,6;não;5,07;;;;;;;;;4,7;90,35
20/01/2022;18,09;não;25,17;não;32,25;não;0,0;não;1;1;45,78;não;88,6;não;5,08;;;;;;;;;4,95;95,05
19/01/2022;18,74;não;25,85;não;32,96;não;38,61;não;0;0;47,59;não;91,0;não;5,21;;;;;;;;;5,21;100,0
18/01/2022;19,26;não;24,92;não;30,57;não;0,0;não;1;1;53,94;não;89,0;não;4,57;;;;;;;;;4,47;95,53
17/01/2022;18,18;não;23,69;não;29,2;não;75,18;não;0;0;53,15;não;91,7;não;4,1;;;;;;;;;4,1;100,0
16/01/2022;19,27;não;25,54;não;31,81;não;6,6;não;0;2;51,58;não;90,2;não;4,83;;;;;;;;;4,83;96,81
15/01/2022;20,38;não;26,72;não;33,05;não;0,0;não;1;1;49,73;não;89,7;não;5,09;;;;;;;;;4,96;95,04
14/01/2022;19,18;não;25,55;não;31,92;não;19,3;não;0;0;52,92;não;91,0;não;4,87;;;;;;;;;4,87;100,0
13/01/2022;19,74;não;23,36;não;26,98;não;7,11;não;0;1;70,95;não;91,0;não;2,98;;;;;;;;;2,98;100,0
12/01/2022;18,74;não;22,16;não;25,58;não;18,8;não;0;0;70,09;não;91,0;não;2,6;;;;;;;;;2,6;97,8
11/01/2022;18,88;não;22,12;não;25,36;não;0,0;não;1;9;67,09;não;90,2;não;2,51;;;;;;;;;2,07;81,6
10/01/2022;16,85;não;19,82;não;22,78;não;2,54;não;0;8;72,15;não;90,0;não;1,92;;;;;;;;;1,92;83,67
09/01/2022;18,17;não;22,76;não;27,34;não;0,0;não;3;7;62,68;não;86,6;não;3,33;;;;;;;;;2,81;83,05
08/01/2022;18,53;não;21,76;não;24,99;não;0,76;não;2;6;73,48;não;88,5;não;2,43;;;;;;;;;2,21;85,86
07/01/2022;19,68;não;24,27;não;28,86;não;0,25;não;1;5;63,3;não;90,1;não;3,76;;;;;;;;;3,37;87,31
06/01/2022;21,3;não;24,88;não;28,46;não;2,79;não;0;4;65,07;não;90,5;não;3,37;;;;;;;;;3,32;90,43
05/01/2022;20,72;não;24,82;não;28,92;não;1,27;não;0;3;63,76;não;90,2;não;3,64;;;;;;;;;3,45;90,96
04/01/2022;21,13;não;25,75;não;30,37;não;0,25;não;2;2;58,91;não;89,5;não;4,23;;;;;;;;;4,03;93,14
03/01/2022;20,87;não;24,6;não;28,33;não;0,25;não;1;1;57,18;não;90,4;não;3,38;;;;;;;;;3,33;96,92
02/01/2022;19,6;não;24,15;não;28,7;não;10,92;não;0;0;61,65;não;91,0;não;3,71;;;;;;;;;3,71;100,0
01/01/2022;17,98;não;22,07;não;26,16;não;25,4;não;0;0;71,2;não;91,4;não;2,92;;;;;;;;;2,92;100,0
31/12/2021;19,02;não;21,86;não;24,7;não;10,16;não;0;0;73,21;não;90,9;não;2,3;;;;;;;;;2,3;100,0
30/12/2021;19,12;não;25,06;não;31,0;não;9,4;não;0;1;43,91;não;87,6;não;4,58;;;;;;;;;4,58;100,0
29/12/2021;17,06;não;21,33;não;25,6;não;29,46;não;0;0;69,56;não;90,6;não;2,83;;;;;;;;;2,83;100,0
28/12/2021;17,69;não;24,67;não;31,65;não;17,02;não;0;0;42,42;não;89,9;não;4,94;;;;;;;;;4,94;74,96
27/12/2021;18,48;não;25,78;não;33,08;não;0,0;não;4;4;31,64;não;85,3;não;5,27;;;;;;;;;3,41;62,88
26/12/2021;16,81;não;23,63;não;30,45;não;0,0;não;3;3;34,69;não;88,0;não;4,66;;;;;;;;;3,16;66,29
25/12/2021;16,03;não;22,27;não;28,51;não;0,0;não;2;2;47,98;não;84,2;não;4,17;;;;;;;;;2,95;69,45
24/12/2021;13,87;não;20,36;não;26,84;não;0,0;não;1;1;57,16;não;89,6;não;3,75;;;;;;;;;2,77;72,4
23/12/2021;19,34;não;26,27;não;33,2;não;12,95;não;0;0;36,14;não;89,3;não;5,22;;;;;;;;;5,22;75,17
22/12/2021;19,8;não;26,16;não;32,52;não;0,0;não;4;5;38,15;não;84,3;não;4,99;;;;;;;;;3,45;67,44
21/12/2021;17,93;não;24,32;não;30,71;não;0,0;não;3;4;40,95;não;87,7;não;4,62;;;;;;;;;3,35;70,89
20/12/2021;17,02;não;23,64;não;30,26;não;0,0;não;2;3;42,12;não;84,3;não;4,57;;;;;;;;;3,48;74,24
19/12/2021;17,41;não;23,84;não;30,27;não;0,0;não;1;2;52,7;não;86,7;não;4,8;;;;;;;;;3,82;77,72
18/12/2021;19,56;não;24,25;não;28,93;não;4,83;não;0;1;68,22;não;91,3;não;3,83;;;;;;;;;3,83;81,54
17/12/2021;21,11;não;25,82;não;30,52;não;33,78;não;0;0;56,41;não;91,8;não;4,32;;;;;;;;;4,32;80,54
16/12/2021;20,92;não;24,63;não;28,33;não;13,21;não;0;0;67,11;não;92,3;não;3,39;;;;;;;;;3,39;51,08
15/12/2021;21,36;não;25,88;não;30,39;não;6,6;não;0;18;57,13;não;92,0;não;4,22;;;;;;;;;4,22;41,26
14/12/2021;21,34;não;25,77;não;30,2;não;5,33;não;0;17;57,72;não;91,8;não;4,13;;;;;;;;;4,13;38,88
13/12/2021;21,47;não;27,55;não;33,63;não;0,0;não;16;16;37,56;não;87,4;não;5,15;;;;;;;;;1,99;37,68
12/12/2021;20,35;não;26,54;não;32,72;não;0,0;não;15;15;29,84;não;65,5;não;4,99;;;;;;;;;2,03;39,67
11/12/2021;15,19;não;22,85;não;30,51;não;0,0;não;14;14;24,99;não;73,96;não;4,85;;;;;;;;;2,07;41,7
10/12/2021;14,27;não;21,77;não;29,27;não;0,0;não;13;13;33,51;não;87,0;não;4,81;;;;;;;;;2,16;43,77
09/12/2021;14,23;não;20,76;não;27,28;não;0,0;não;12;12;46,13;não;87,8;não;3,88;;;;;;;;;1,81;45,93
08/12/2021;16,34;não;21,53;não;26,72;não;0,0;não;11;11;49,21;não;83,7;não;3,34;;;;;;;;;1,63;47,74
07/12/2021;17,61;não;23,79;não;29,97;não;0,0;não;10;10;42,83;não;84,6;não;4,6;;;;;;;;;2,32;49,37
06/12/2021;18,17;não;24,73;não;31,29;não;0,0;não;9;9;46,14;não;86,5;não;4,78;;;;;;;;;2,53;51,69
05/12/2021;18,21;não;25,28;não;32,34;não;0,0;não;8;8;31,63;não;86,4;não;5,09;;;;;;;;;2,83;54,22
04/12/2021;17,71;não;24,44;não;31,16;não;0,0;não;7;7;45,36;não;84,9;não;4,79;;;;;;;;;2,8;57,05
03/12/2021;18,75;não;25,2;não;31,64;não;0,0;não;6;6;35,44;não;83,7;não;4,83;;;;;;;;;2,96;59,85
02/12/2021;18,9;não;25,54;não;32,17;não;0,0;não;5;5;37,21;não;87,8;não;4,98;;;;;;;;;3,21;62,81
01/12/2021;19,04;não;23,22;não;27,4;não;0,25;não;4;4;64,23;não;91,7;não;3,24;;;;;;;;;2,25;66,02
30/11/2021;19,95;não;26,48;não;33,01;não;0,76;não;3;3;38,21;não;91,1;não;5,12;;;;;;;;;3,8;68,02
29/11/2021;19,84;não;25,94;não;32,03;não;0,0;não;2;2;35,48;não;86,0;não;4,84;;;;;;;;;3,52;71,06
28/11/2021;17,65;não;23,92;não;30,18;não;0,25;não;1;1;41,64;não;90,5;não;4,66;;;;;;;;;3,61;74,58
